,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
0,32605,2788,7098,2989,724,10811,805,897,1083,1415,1469,14415,383,92596,105802,84,18,177
1,32606,3658,6368,4656,1012,12036,805,897,1083,1415,1469,13797,411,94440,108008,84,20,192
2,32607,3190,4958,8889,1876,15723,805,897,1083,1415,1469,9935,826,60220,68651,73,19,115
3,32608,3629,9028,13308,2920,25256,805,897,1083,1415,1469,29797,1579,73016,84004,74,18,89
4,32609,1584,4118,3395,990,8503,805,897,1083,1415,1469,10791,753,49181,56153,78,21,487
5,32612,3442,1,10,1,12,805,897,1083,1415,1469,5331,132,30726,35060,27,13,138
6,32615,2595,4667,1484,633,6784,805,897,1083,1415,1469,6195,296,81170,92535,88,25,273
7,32616,1264,251,126,64,441,805,897,1083,1415,1469,1407,52,77626,87935,90,24,262
8,32617,1548,1177,337,250,1764,692,757,939,1226,1356,427,104,61006,68097,90,27,99
9,32618,2112,2711,641,342,3693,805,897,1083,1415,1469,1202,236,94627,107827,91,29,307
10,32619,1027,1626,287,425,2339,805,897,1083,1415,1469,627,89,52519,60212,85,32,109
11,32621,984,1610,332,327,2269,553,557,734,1001,1149,687,159,46454,52140,87,32,127
12,32622,1010,481,83,137,701,637,652,743,1047,1286,144,45,63126,70025,86,32,141
13,32625,2502,631,156,472,1260,553,557,734,1001,1149,314,61,64658,72856,76,21,99
14,32626,1235,2757,794,731,4281,553,557,734,1001,1149,2649,245,47193,52871,79,27,236
15,32628,1012,1087,402,342,1832,629,644,734,1027,1153,2499,139,51695,55337,83,25,163
16,32639,1155,154,25,56,235,553,557,734,1001,1149,54,22,45392,51016,74,28,140
17,32640,1322,3688,835,1102,5625,805,897,1083,1415,1469,1298,304,52781,58809,80,33,339
18,32641,1293,3088,1742,593,5423,805,897,1083,1415,1469,2484,633,46916,53619,88,23,502
19,32643,1966,4137,950,514,5601,805,897,1083,1415,1469,2167,347,69641,79154,88,31,307
20,32648,2071,177,24,314,515,629,644,734,1027,1153,25,44,65827,70496,82,26,161
21,32653,3188,4494,1555,417,6465,805,897,1083,1415,1469,3995,496,77678,88912,84,22,198
22,32656,1272,4603,1000,1030,6633,746,921,1113,1455,1852,2209,504,58668,63952,87,38,160
23,32658,1032,88,20,28,137,805,897,1083,1415,1469,42,18,58496,66722,93,24,246
24,32664,1197,167,64,49,280,692,757,939,1226,1356,103,40,46400,51803,68,25,182
25,32666,1729,2156,457,600,3213,623,627,765,997,1037,614,326,64599,70998,80,38,283
26,32667,2063,1317,348,271,1937,805,897,1083,1415,1469,913,139,67490,76513,79,25,457
27,32668,1525,1828,334,408,2570,553,557,734,1001,1149,264,138,65701,73516,86,32,125
28,32669,3048,4564,1321,567,6452,805,897,1083,1415,1469,2714,338,91309,103782,92,29,412
29,32680,755,3905,713,1237,5856,629,644,734,1027,1153,738,172,50148,53608,82,31,121
