,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
0,34291,2871,2382,738,503,3624,841,992,1275,1686,2030,265,109,75445,89706,105,30,144
1,34292,3107,6706,1963,2028,10697,841,992,1275,1686,2030,9571,334,84943,101190,75,18,109
2,34293,2897,18400,4172,5608,28180,841,992,1275,1686,2030,8833,1546,82008,98992,78,22,33
3,34420,1415,5192,1937,1311,8439,692,757,939,1226,1356,3909,621,57093,63861,83,26,170
4,34428,1364,3438,982,1145,5566,659,679,895,1279,1550,4184,369,66431,73662,80,22,88
5,34429,1567,3189,804,1305,5299,659,679,895,1279,1550,3977,203,65772,72453,76,22,109
6,34432,1777,4790,1000,1075,6866,692,757,939,1226,1356,4210,444,56026,62644,78,29,60
7,34433,1202,2616,404,583,3603,659,679,895,1279,1550,235,201,67327,74587,87,31,71
8,34434,1208,3197,613,706,4517,659,679,895,1279,1550,581,443,54970,60799,86,27,34
9,34436,975,3225,526,890,4641,659,679,895,1279,1550,613,358,55160,61071,77,33,37
10,34442,1663,6432,1184,1972,9588,659,679,895,1279,1550,1766,484,64581,71354,78,28,35
11,34445,265,14,2,3,20,659,679,895,1279,1550,0,0,52050,57586,80,28,49
12,34446,1370,7035,1033,1549,9617,659,679,895,1279,1550,1387,587,52984,58684,77,28,25
13,34448,1383,3886,929,1502,6318,659,679,895,1279,1550,2237,363,51440,56887,79,26,32
14,34449,1246,1054,270,556,1881,553,557,734,1001,1149,463,134,42092,47167,72,31,17
15,34450,1236,4092,1104,1149,6346,659,679,895,1279,1550,3039,355,58616,65066,73,26,68
16,34452,1028,3961,982,782,5725,659,679,895,1279,1550,2986,274,48012,53126,79,26,50
17,34453,1197,3808,932,1250,5989,659,679,895,1279,1550,2633,310,53627,59345,80,25,55
18,34461,1538,4063,808,771,5642,659,679,895,1279,1550,3253,459,58541,64772,80,23,37
19,34465,1432,6401,1568,1272,9241,659,679,895,1279,1550,1251,823,52384,58084,76,22,25
20,34471,2161,6432,4257,1575,12264,692,757,939,1226,1356,19992,903,77926,87245,83,18,214
21,34472,1546,8479,2802,1869,13150,692,757,939,1226,1356,4288,1339,54626,61069,89,26,239
22,34473,1793,5829,1854,1384,9068,692,757,939,1226,1356,1715,704,62255,69732,96,29,54
23,34474,1921,4166,3347,1289,8801,692,757,939,1226,1356,29478,678,60946,68126,79,20,149
24,34475,1215,2379,1931,978,5288,692,757,939,1226,1356,7828,438,43636,48886,83,22,200
25,34476,1971,9342,1701,1541,12584,692,757,939,1226,1356,2715,646,65010,72816,80,23,71
26,34479,1473,4167,1114,641,5922,692,757,939,1226,1356,1836,379,57720,64593,86,23,187
27,34480,2237,5770,1911,1006,8687,692,757,939,1226,1356,3786,748,79300,88876,96,21,121
28,34481,1766,10776,1591,1795,14162,692,757,939,1226,1356,4727,262,58496,65363,66,28,59
29,34482,1990,6466,1895,1591,9952,692,757,939,1226,1356,6070,1170,61638,68811,82,24,322
30,34484,2183,1594,196,299,2090,716,718,946,1278,1283,2559,96,65433,77056,87,24,153
31,34488,1020,3591,893,1224,5708,692,757,939,1226,1356,1614,279,46628,52011,78,32,109
32,34491,1832,12759,2311,2737,17807,692,757,939,1226,1356,3834,681,60777,67864,77,27,69
33,34498,2142,196,39,133,367,553,557,734,1001,1149,65,31,48113,53934,71,40,18
