,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
0,33881,1729,10803,5002,3172,18976,794,799,1023,1375,1764,10494,2689,55876,61894,82,24,390
1,33884,2243,10382,3252,2422,16056,794,799,1023,1375,1764,5716,1377,73153,80873,88,22,123
2,33890,1140,1192,306,296,1794,565,569,750,972,1168,546,178,59028,67122,113,26,124
3,33896,3025,3004,1457,4059,8520,794,799,1023,1375,1764,2020,579,72348,80080,94,29,182
4,33897,2462,5240,1870,6679,13789,794,799,1023,1375,1764,2703,1031,68277,75679,96,28,129
5,33898,1469,5946,1658,3001,10606,794,799,1023,1375,1764,2252,1078,60241,66621,85,28,257
6,33901,2582,4494,5116,2598,12208,931,951,1197,1559,1762,26360,991,65063,74599,75,22,550
7,33903,1782,9115,2840,4247,16203,931,951,1197,1559,1762,7112,1471,57582,65927,71,22,145
8,33904,3572,11647,3879,5766,21292,931,951,1197,1559,1762,9707,1400,71894,81921,79,24,132
9,33905,2234,9122,4456,3888,17466,931,951,1197,1559,1762,11585,1938,64961,74832,92,28,226
10,33907,1626,5651,6299,3544,15494,931,951,1197,1559,1762,20437,1186,58078,65950,74,21,194
11,33909,2623,7348,3573,2505,13426,931,951,1197,1559,1762,5490,2412,62332,71166,99,26,151
12,33913,4897,9895,3270,5737,18902,931,951,1197,1559,1762,22304,1222,110007,125050,92,27,461
13,33914,4764,13658,4513,5847,24018,931,951,1197,1559,1762,5816,1382,85058,96928,93,25,85
14,33916,2088,5183,5811,3693,14687,931,951,1197,1559,1762,11562,1533,52622,60332,89,23,534
15,33917,1873,12030,2403,4550,18983,931,951,1197,1559,1762,5079,1230,60767,69353,77,27,163
16,33919,2199,11648,4119,4819,20587,931,951,1197,1559,1762,13249,870,76890,87777,73,19,204
17,33920,2857,2330,561,585,3475,931,951,1197,1559,1762,584,269,92794,105582,96,34,130
18,33921,21479,811,96,1965,2872,931,951,1197,1559,1762,535,2,181592,206727,83,7,155
19,33922,2977,1626,377,973,2976,931,951,1197,1559,1762,332,119,60218,68595,77,28,194
20,33924,15327,298,135,3883,4317,931,951,1197,1559,1762,486,0,195417,222694,77,17,142
21,33928,3505,11052,2926,6706,20684,931,951,1197,1559,1762,10394,849,103709,118494,84,25,130
22,33930,2157,188,71,42,301,629,644,734,1050,1213,218,74,50772,57389,117,26,303
23,33931,5039,4320,1168,7496,12984,931,951,1197,1559,1762,4618,136,94157,107442,70,20,145
24,33935,1722,5262,2348,1848,9458,629,644,734,1050,1213,3991,1011,59896,67139,111,31,304
