,zipcode,year,month,total_sales,avg_sale_price,med_sale_price,mortgage_rate
0,33569,2021,1,48,260840.0,254750.0,2.735
1,33570,2021,1,46,239844.0,234250.0,2.735
2,33572,2021,1,72,395776.0,327500.0,2.735
3,33573,2021,1,83,275464.0,214900.0,2.735
4,33576,2021,1,9,272211.0,255000.0,2.735
5,33578,2021,1,88,221167.0,209000.0,2.735
6,33579,2021,1,79,280576.0,275000.0,2.735
7,33584,2021,1,30,254400.0,232000.0,2.735
8,33585,2021,1,3,88083.0,94250.0,2.735
9,33592,2021,1,9,208664.0,178500.0,2.735
10,33594,2021,1,56,259509.0,248750.0,2.735
11,33596,2021,1,43,322545.0,330000.0,2.735
12,33597,2021,1,7,122244.0,125000.0,2.735
13,33598,2021,1,38,305074.0,269950.0,2.735
14,33602,2021,1,42,512172.0,367450.0,2.735
15,33603,2021,1,35,259252.0,275000.0,2.735
16,33604,2021,1,72,224478.0,214500.0,2.735
17,33605,2021,1,35,185623.0,171000.0,2.735
18,33606,2021,1,41,537001.0,485000.0,2.735
19,33607,2021,1,32,260763.0,249500.0,2.735
20,33609,2021,1,50,520101.0,356000.0,2.735
21,33610,2021,1,59,170041.0,165000.0,2.735
22,33611,2021,1,70,425932.0,285000.0,2.735
23,33612,2021,1,52,202056.0,162500.0,2.735
24,33613,2021,1,21,175576.0,146000.0,2.735
25,33614,2021,1,42,183304.0,181500.0,2.735
26,33615,2021,1,63,253084.0,242000.0,2.735
27,33616,2021,1,27,392231.0,330000.0,2.735
28,33617,2021,1,48,175585.0,152550.0,2.735
29,33618,2021,1,41,304047.0,245000.0,2.735
30,33619,2021,1,38,191652.0,192500.0,2.735
31,33624,2021,1,63,257401.0,252000.0,2.735
32,33625,2021,1,34,267426.0,267500.0,2.735
33,33626,2021,1,49,391702.0,365000.0,2.735
34,33629,2021,1,59,748429.0,565100.0,2.735
35,33634,2021,1,29,294445.0,255000.0,2.735
36,33635,2021,1,15,290515.0,317500.0,2.735
37,33637,2021,1,22,177064.0,197000.0,2.735
38,33647,2021,1,89,299185.0,280000.0,2.735
39,33701,2021,1,50,671998.0,537500.0,2.735
40,33702,2021,1,73,226988.0,205700.0,2.735
41,33703,2021,1,72,327497.0,276750.0,2.735
42,33704,2021,1,47,648932.0,499900.0,2.735
43,33705,2021,1,44,314340.0,231050.0,2.735
44,33706,2021,1,75,588046.0,450000.0,2.735
45,33707,2021,1,85,380324.0,280000.0,2.735
46,33708,2021,1,44,548850.0,503750.0,2.735
47,33709,2021,1,59,182355.0,190000.0,2.735
48,33710,2021,1,73,270531.0,255000.0,2.735
49,33711,2021,1,57,263403.0,194000.0,2.735
50,33712,2021,1,41,191982.0,138000.0,2.735
51,33713,2021,1,67,261443.0,250000.0,2.735
52,33714,2021,1,36,165407.0,169000.0,2.735
53,33715,2021,1,45,513398.0,352000.0,2.735
54,33716,2021,1,5,214200.0,129000.0,2.735
55,33755,2021,1,49,238540.0,198000.0,2.735
56,33756,2021,1,69,395613.0,253000.0,2.735
57,33759,2021,1,26,341457.0,320200.0,2.735
58,33760,2021,1,23,204943.0,187500.0,2.735
59,33761,2021,1,22,234753.0,237500.0,2.735
60,33762,2021,1,17,233088.0,187000.0,2.735
61,33763,2021,1,46,182091.0,162250.0,2.735
62,33764,2021,1,56,230821.0,192650.0,2.735
63,33765,2021,1,18,238083.0,259950.0,2.735
64,33767,2021,1,61,710992.0,600000.0,2.735
65,33770,2021,1,40,303402.0,269750.0,2.735
66,33771,2021,1,37,218239.0,210000.0,2.735
67,33772,2021,1,35,291931.0,317500.0,2.735
68,33773,2021,1,28,185935.0,175100.0,2.735
69,33774,2021,1,43,233421.0,215000.0,2.735
70,33776,2021,1,19,375453.0,359900.0,2.735
