,Unnamed: 0,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
98,98,34946,1433,1924,780,667,3371,926,932,1211,1618,1830,2427,383,46459,51919,92,22,286
963,17,34947,1468,2109,2502,739,5351,926,932,1211,1618,1830,5141,687,43871,49215,98,24,364
99,99,34947,1468,2109,2502,739,5351,926,932,1211,1618,1830,5141,687,43871,49215,98,24,364
100,100,34949,4682,3671,1160,3794,8625,926,932,1211,1618,1830,659,189,96366,108280,75,25,351
964,18,34949,4682,3671,1160,3794,8625,926,932,1211,1618,1830,659,189,96366,108280,75,25,351
965,19,34950,1391,2339,3303,1565,7207,926,932,1211,1618,1830,10453,887,40421,45171,94,27,445
966,20,34951,1977,6017,1159,1425,8601,926,932,1211,1618,1830,1429,635,54494,60933,82,24,334
101,101,34951,1977,6017,1159,1425,8601,926,932,1211,1618,1830,1429,635,54494,60933,82,24,334
102,102,34952,2660,15022,5811,4064,24897,926,932,1211,1618,1830,20207,1969,59979,66866,80,24,200
967,21,34952,2660,15022,5811,4064,24897,926,932,1211,1618,1830,20207,1969,59979,66866,80,24,200
103,103,34953,3471,19987,5136,3240,28363,926,932,1211,1618,1830,7160,3262,71052,79485,111,30,55
968,22,34953,3471,19987,5136,3240,28363,926,932,1211,1618,1830,7160,3262,71052,79485,111,30,55
969,23,34956,1340,1660,871,343,2874,926,932,1211,1618,1830,2778,713,58587,68256,133,33,89
104,104,34956,1340,1660,871,343,2874,926,932,1211,1618,1830,2778,713,58587,68256,133,33,89
105,105,34957,3554,9017,2827,6340,18185,926,932,1211,1618,1830,9772,819,80659,92673,77,22,122
970,24,34957,3554,9017,2827,6340,18185,926,932,1211,1618,1830,9772,819,80659,92673,77,22,122
106,106,34972,1297,4160,1995,1245,7401,645,649,836,1074,1186,4745,696,51838,58740,109,30,224
971,25,34972,1297,4160,1995,1245,7401,645,649,836,1074,1186,4745,696,51838,58740,109,30,224
107,107,34974,1363,7775,2295,4143,14213,673,675,785,976,1114,3895,566,58011,65187,88,25,175
972,26,34974,1363,7775,2295,4143,14213,673,675,785,976,1114,3895,566,58011,65187,88,25,175
108,108,34981,2666,957,777,241,1975,926,932,1211,1618,1830,3726,320,58229,65220,96,22,262
973,27,34981,2666,957,777,241,1975,926,932,1211,1618,1830,3726,320,58229,65220,96,22,262
109,109,34982,1925,8243,3115,1957,13316,926,932,1211,1618,1830,6456,950,52951,59120,90,21,296
974,28,34982,1925,8243,3115,1957,13316,926,932,1211,1618,1830,6456,950,52951,59120,90,21,296
110,110,34983,2896,12403,3374,1831,17609,926,932,1211,1618,1830,3784,1871,68896,77037,102,25,121
975,29,34983,2896,12403,3374,1831,17609,926,932,1211,1618,1830,3784,1871,68896,77037,102,25,121
111,111,34984,3672,5017,1069,898,6984,926,932,1211,1618,1830,2863,805,83195,93062,104,27,93
976,30,34984,3672,5017,1069,898,6984,926,932,1211,1618,1830,2863,805,83195,93062,104,27,93
977,31,34986,4312,9944,2865,2542,15351,926,932,1211,1618,1830,12238,367,72324,82326,86,30,78
112,112,34986,4312,9944,2865,2542,15351,926,932,1211,1618,1830,12238,367,72324,82326,86,30,78
978,32,34987,4875,4237,1290,1829,7356,926,932,1211,1618,1830,2392,303,98813,110440,96,27,117
113,113,34987,4875,4237,1290,1829,7356,926,932,1211,1618,1830,2392,303,98813,110440,96,27,117
979,33,34990,4491,11232,2039,1656,14926,926,932,1211,1618,1830,9001,934,120310,139546,101,25,56
114,114,34990,4491,11232,2039,1656,14926,926,932,1211,1618,1830,9001,934,120310,139546,101,25,56
980,34,34994,2309,4771,3346,2005,10122,926,932,1211,1618,1830,18995,898,70499,81708,78,23,139
115,115,34996,5157,5202,1267,2780,9249,926,932,1211,1618,1830,5411,163,115311,132782,78,21,140
981,35,34996,5157,5202,1267,2780,9249,926,932,1211,1618,1830,5411,163,115311,132782,78,21,140
116,116,34997,3067,14320,4256,2976,21551,926,932,1211,1618,1830,15421,1267,81555,95059,91,24,113
982,36,34997,3067,14320,4256,2976,21551,926,932,1211,1618,1830,15421,1267,81555,95059,91,24,113
