,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
0,32927,1588,8709,1594,1498,11800,759,921,1134,1525,1826,2736,1183,72750,80917,98,27,116
1,32931,3448,4962,2325,3211,10498,759,921,1134,1525,1826,8335,404,89855,99941,74,23,210
2,32934,3104,6122,1612,696,8430,759,921,1134,1525,1826,8470,374,95313,106275,95,22,123
3,32935,1619,12244,6681,2343,21268,759,921,1134,1525,1826,17330,1433,63068,70159,80,21,166
4,32937,3440,8813,2894,2361,14069,759,921,1134,1525,1826,5733,793,99672,110624,88,23,86
5,32940,3228,15410,3444,2082,20936,759,921,1134,1525,1826,19980,1336,98429,109685,91,24,93
6,32948,1533,1160,563,273,1996,759,921,1134,1525,1826,1310,339,54189,64791,132,25,234
7,32949,3474,1000,125,165,1290,759,921,1134,1525,1826,244,126,88818,98664,91,21,23
8,32950,2766,1448,254,155,1857,759,921,1134,1525,1826,623,144,83574,93004,94,22,120
9,32951,3679,4668,849,1808,7325,759,921,1134,1525,1826,1350,382,103320,114767,84,28,101
10,32952,2945,6957,1566,1277,9800,759,921,1134,1525,1826,6539,657,100810,112057,94,24,201
11,32953,2531,7425,2779,1483,11687,759,921,1134,1525,1826,12646,947,77097,85497,89,23,180
12,32955,2405,12065,3761,1823,17649,759,921,1134,1525,1826,14124,1312,80677,89824,91,23,109
13,32958,2169,10459,2507,2376,15342,699,881,1059,1430,1673,6857,1329,64908,77674,86,22,123
14,32960,1834,5570,4252,2549,12371,699,881,1059,1430,1673,21106,1071,64274,76871,77,17,158
15,32962,1459,8101,2659,2746,13506,699,881,1059,1430,1673,3113,1185,63526,76078,86,18,107
16,32963,8340,7237,788,4011,12035,699,881,1059,1430,1673,5770,224,200614,239717,87,19,121
17,32966,2129,7640,2716,2761,13117,699,881,1059,1430,1673,8274,512,70533,84199,75,20,157
18,32967,2553,7312,3073,3027,13412,699,881,1059,1430,1673,4495,1290,81381,97267,94,19,171
19,32968,2465,4833,1016,796,6645,699,881,1059,1430,1673,2728,521,90959,108669,103,21,140
20,32970,855,91,22,23,136,699,881,1059,1430,1673,330,21,62177,74992,88,23,89
21,32976,1872,4731,618,1763,7112,759,921,1134,1525,1826,481,355,46282,51452,65,28,23
22,33001,3628,82,35,224,341,1301,1344,1744,2257,2996,70,2,49038,56312,66,20,264
23,33004,3165,4055,3813,1896,9764,1059,1198,1510,2161,2614,18468,1659,68499,78786,84,24,642
24,33009,3978,11987,8027,10061,30074,1059,1198,1510,2161,2614,15998,2397,60466,69926,78,27,304
25,33010,2485,4855,10643,591,16089,1057,1231,1551,2068,2483,11796,2404,40666,48071,108,25,400
26,33012,2223,12924,11070,1002,24996,1057,1231,1551,2068,2483,19465,4307,47282,56026,114,27,232
27,33013,2737,5790,3783,403,9976,1057,1231,1551,2068,2483,8220,1291,47857,56664,130,26,557
28,33014,2979,7147,6931,577,14655,1057,1231,1551,2068,2483,24226,1512,60265,71309,107,26,367
29,33015,2885,12917,8970,1625,23511,1057,1231,1551,2068,2483,10033,3116,65161,76931,115,31,457
30,33016,2644,8648,5487,515,14649,1057,1231,1551,2068,2483,24847,2143,62156,74540,119,29,321
31,33018,3786,12390,4199,448,17037,1057,1231,1551,2068,2483,9814,2646,81963,98938,139,30,432
32,33019,7303,5985,2666,5446,14096,1059,1198,1510,2161,2614,4681,700,126175,145359,87,27,204
33,33020,3089,8395,12010,3883,24288,1059,1198,1510,2161,2614,24995,4103,59706,68895,83,26,322
34,33021,3758,13812,6583,3004,23399,1059,1198,1510,2161,2614,29841,2715,82723,95733,93,25,277
35,33023,3055,14050,6143,1600,21793,1059,1198,1510,2161,2614,14718,4528,60562,69772,122,29,411
36,33024,3716,17539,7485,2085,27109,1059,1198,1510,2161,2614,18259,4921,76840,88780,110,28,218
37,33025,3411,17850,12634,3598,34082,1059,1198,1510,2161,2614,31435,3679,73701,85566,108,31,166
38,33026,3676,9589,2087,815,12491,1059,1198,1510,2161,2614,11827,1705,93406,107680,108,28,173
39,33027,4345,18474,4252,2755,25482,1059,1198,1510,2161,2614,20734,2513,84725,96884,111,32,126
40,33028,5511,6794,1929,592,9315,1059,1198,1510,2161,2614,9234,1072,124027,142936,140,33,137
41,33029,5672,12271,1370,882,14523,1059,1198,1510,2161,2614,8410,2202,123024,141689,148,34,109
42,33030,2746,4596,6264,1117,11976,1057,1231,1551,2068,2483,9794,2473,56966,67798,122,32,897
43,33031,4536,1636,345,210,2192,1057,1231,1551,2068,2483,1735,394,89367,105822,123,29,1173
44,33032,3489,9933,6621,1825,18379,1057,1231,1551,2068,2483,4551,5085,64337,76916,127,31,1057
45,33033,3457,9846,7755,2854,20455,1057,1231,1551,2068,2483,9008,5142,62953,74823,126,30,862
46,33034,1826,2799,3532,1059,7390,1057,1231,1551,2068,2483,5795,2288,49148,58318,115,31,930
47,33035,2627,2668,2348,1337,6353,1057,1231,1551,2068,2483,2249,850,70371,83503,109,28,1433
