geoid,name,B19013001,"B19013001, Error"
86000US32463,"32463",44167,27952
86000US32464,"32464",43010,6577
86000US32465,"32465",39939,6680
86000US32466,"32466",56033,4891
86000US32501,"32501",29422,2577
86000US32502,"32502",53306,9125
86000US32503,"32503",50032,3465
86000US32504,"32504",52824,6021
86000US32505,"32505",37789,2365
86000US32506,"32506",50275,2495
86000US32507,"32507",48939,4846
86000US32508,"32508",44107,10190
86000US32509,"32509",,
86000US32511,"32511",,
86000US32514,"32514",49889,3303
86000US32526,"32526",60007,3134
86000US32530,"32530",,
86000US32531,"32531",57424,12447
86000US32533,"32533",75173,5264
86000US32534,"32534",50407,3933
86000US32535,"32535",42663,9589
86000US32536,"32536",70651,7932
86000US32539,"32539",59712,4809
86000US32541,"32541",80469,5562
86000US32542,"32542",45391,6690
86000US32544,"32544",38750,20056
86000US32547,"32547",52714,2017
86000US32548,"32548",54776,3421
86000US32550,"32550",69410,11416
86000US32561,"32561",102517,13533
86000US32563,"32563",72045,6224
86000US32564,"32564",72143,27435
86000US32565,"32565",51324,8989
86000US32566,"32566",77584,8007
86000US32567,"32567",46950,11258
86000US32568,"32568",53486,8830
86000US32569,"32569",61551,7051
86000US32570,"32570",57981,3423
86000US32571,"32571",72496,3694
86000US32577,"32577",56543,10345
86000US32578,"32578",85497,5127
86000US32579,"32579",76639,5040
86000US32580,"32580",64009,17908
86000US32583,"32583",60805,4701
86000US32601,"32601",25673,1952
86000US32603,"32603",20660,4525
86000US32605,"32605",69707,4839
86000US32606,"32606",69974,6581
86000US32607,"32607",39905,4236
86000US32608,"32608",45887,3994
86000US32609,"32609",34826,4746
86000US32612,"32612",,
86000US32615,"32615",63043,6185
86000US32616,"32616",26528,21921
86000US32617,"32617",44701,9044
86000US32618,"32618",54219,6412
86000US32619,"32619",44328,2400
86000US32621,"32621",36389,5059
86000US32622,"32622",43400,19551
86000US32625,"32625",40563,12284
86000US32626,"32626",35572,3135
86000US32628,"32628",39263,6050
86000US32631,"32631",65449,11821
86000US32639,"32639",38011,27096
86000US32640,"32640",47103,4176
86000US32641,"32641",37540,2799
86000US32643,"32643",56171,5084
86000US32648,"32648",61442,26193
86000US32653,"32653",66471,5896
86000US32656,"32656",50063,5080
86000US32658,"32658",51875,29434
86000US32664,"32664",51875,14051
86000US32666,"32666",47457,7026
86000US32667,"32667",58892,8179
86000US32668,"32668",41438,8919
86000US32669,"32669",70356,6460
86000US32680,"32680",38496,3245
86000US32681,"32681",,
86000US32683,"32683",,
86000US32686,"32686",35910,7317
86000US32692,"32692",,
86000US32693,"32693",38060,2913
86000US32694,"32694",47917,10856
86000US32696,"32696",45457,4672
