,Zip_Code,Date_Code,Testing_Total_Sales,Testing_FHA_Count,Testing_Sale_Price,Total_Sales_Prediction,FHA_Count_Prediction,Sale_Price_Prediction,Total_ Sales_RMSLE,FHA_Count_RMSLE,Sale_Price_RMSLE
780,32738,202103.0,67.0,52.0,230000.0,90.64192336589258,56.21479267605537,193530.8417556323,0.1994273873835283,0.13030092379939556,0.11012902089716592
781,32738,202104.0,0.0,0.0,0.0,92.2351055991312,54.01545786930001,193700.1064911224,,,
782,32744,202101.0,7.0,3.0,195000.0,7.943101313306897,1.145116378151613,158070.7985404879,0.7924775765056983,0.573922787761704,0.22466826742887364
783,32744,202102.0,8.0,0.0,180000.0,5.597170799307037,1.1462780332358875,221448.82991664112,0.7924775765056983,0.573922787761704,0.22466826742887364
784,32744,202103.0,1.0,1.0,230000.0,6.579947717772825,1.275162783944836,178449.49067905545,0.7924775765056983,0.573922787761704,0.22466826742887364
785,32744,202104.0,0.0,0.0,0.0,6.3844416175919605,1.1498317396872721,202035.73808045685,,,
786,32746,202101.0,67.0,6.0,318900.0,93.32505473132005,8.36751810144392,313433.78194239736,0.30674223914521437,0.17633206132404966,0.023429829987642824
787,32746,202102.0,101.0,7.0,330000.0,91.20067091220608,7.620370437207612,318691.38023878634,0.30674223914521437,0.17633206132404966,0.023429829987642824
788,32746,202103.0,60.0,7.0,325000.0,90.56573627148919,7.436554823668757,321286.35375320166,0.30674223914521437,0.17633206132404966,0.023429829987642824
789,32746,202104.0,0.0,0.0,0.0,90.51595262393585,7.379086319608405,322293.61101061106,,,
790,32750,202101.0,37.0,8.0,255100.0,42.85752682089151,13.6738916657564,306021.69577650726,0.4625027710861785,0.7285084517437401,0.10573630083024803
791,32750,202102.0,28.0,4.0,283650.0,46.192510705208406,10.243763986141857,280005.19486860186,0.4625027710861785,0.7285084517437401,0.10573630083024803
792,32750,202103.0,24.0,4.0,280000.0,45.46061986824134,10.51903357634501,275613.3919381276,0.4625027710861785,0.7285084517437401,0.10573630083024803
793,32750,202104.0,0.0,0.0,0.0,45.08121588195536,10.755589218725163,277736.9686286375,,,
794,32751,202101.0,31.0,1.0,287500.0,42.6970939381406,5.167973428911637,317868.9008975774,0.3770782083176144,0.6813325041107369,0.1150273804832695
795,32751,202102.0,34.0,1.0,320000.0,42.99022765095856,1.7708569172369835,344837.1100073606,0.3770782083176144,0.6813325041107369,0.1150273804832695
796,32751,202103.0,27.0,4.0,279600.0,46.405435479074185,3.3725392249353945,326475.0693406388,0.3770782083176144,0.6813325041107369,0.1150273804832695
797,32751,202104.0,0.0,0.0,0.0,44.73336806628663,3.032482428402659,337858.8961144462,,,
798,32754,202101.0,16.0,5.0,119500.0,17.230360957572884,2.0744855211985396,181481.7686854452,0.36108400762209797,0.6278601789614051,0.42805206045233596
799,32754,202102.0,12.0,7.0,188050.0,17.736504037936356,3.4641543785767226,160251.18579321168,0.36108400762209797,0.6278601789614051,0.42805206045233596
800,32754,202103.0,10.0,7.0,310000.0,17.184010656974806,3.266292655684083,171635.98120617867,0.36108400762209797,0.6278601789614051,0.42805206045233596
801,32754,202104.0,0.0,0.0,0.0,17.471803882482163,3.1714311656976406,168207.52911842242,,,
802,32757,202101.0,52.0,18.0,239500.0,60.01194323558366,13.77928948390354,252692.39649849385,0.10413566093529122,0.476604641072806,0.03160195362123013
803,32757,202102.0,57.0,10.0,252000.0,61.42056586980698,14.139895677120421,254315.43661613017,0.10413566093529122,0.476604641072806,0.03160195362123013
804,32757,202103.0,68.0,30.0,256350.0,62.342361821254144,14.111282393161673,254787.7166587487,0.10413566093529122,0.476604641072806,0.03160195362123013
805,32757,202104.0,0.0,0.0,0.0,62.671106782158404,14.060217408871267,254820.65504639596,,,
806,32759,202101.0,7.0,0.0,239900.0,10.895012703488192,1.034243205609755,212327.44327801466,0.31853627575180604,0.6489516136839573,0.4472338730233213
807,32759,202102.0,8.0,2.0,114046.0,9.088099171996646,0.37662761444539683,244522.626935333,0.31853627575180604,0.6489516136839573,0.4472338730233213
808,32759,202103.0,14.0,0.0,198000.0,9.401677783824198,0.47742719963957825,209950.8710412979,0.31853627575180604,0.6489516136839573,0.4472338730233213
809,32759,202104.0,0.0,0.0,0.0,9.091178799019417,0.408837436055137,227709.93769399822,,,
810,32763,202101.0,38.0,30.0,184000.0,40.25950672884903,24.011563007319637,180147.42370837182,0.3271339052011432,0.3574863302271804,0.0638984738716997
811,32763,202102.0,28.0,15.0,185000.0,41.414518741567235,22.801623854353238,183582.57860982418,0.3271339052011432,0.3574863302271804,0.0638984738716997
812,32763,202103.0,27.0,15.0,205000.0,41.45876322436766,23.443193653531125,183947.10876986384,0.3271339052011432,0.3574863302271804,0.0638984738716997
813,32763,202104.0,0.0,0.0,0.0,41.71925064045354,23.635106293782883,184581.38377644867,,,
814,32765,202101.0,67.0,8.0,327000.0,111.75481557891544,11.247236376446835,317005.46606414765,0.5957877899338628,0.4546564449754035,0.03963493205856713
815,32765,202102.0,73.0,5.0,325000.0,110.17254832047911,10.754737698983718,316747.739942044,0.5957877899338628,0.4546564449754035,0.03963493205856713
816,32765,202103.0,49.0,8.0,335000.0,110.51933791560805,10.791310952903132,316892.58081474155,0.5957877899338628,0.4546564449754035,0.03963493205856713
817,32765,202104.0,0.0,0.0,0.0,110.86606841509638,10.829160494379266,317195.3581823185,,,
818,32766,202101.0,24.0,2.0,402250.0,24.9312525813275,2.3935668247258945,394737.4122779593,0.25067616529488035,0.10677523779936454,0.07725711392536663
819,32766,202102.0,21.0,3.0,440000.0,25.52895576903302,2.595878212383923,385540.8526080772,0.25067616529488035,0.10677523779936454,0.07725711392536663
820,32766,202103.0,17.0,3.0,380000.0,25.586891614291744,2.66471330078366,383681.15693413466,0.25067616529488035,0.10677523779936454,0.07725711392536663
821,32766,202104.0,0.0,0.0,0.0,25.609756181556804,2.691096601837671,383586.7693099454,,,
822,32771,202101.0,68.0,27.0,237500.0,98.38337033580365,19.36809575044572,245889.80256726593,0.27419234548563737,0.18570788917197636,0.10611125313548438
823,32771,202102.0,81.0,19.0,255000.0,99.55057290714194,19.948285469280563,246336.20975600928,0.27419234548563737,0.18570788917197636,0.10611125313548438
824,32771,202103.0,79.0,20.0,295000.0,99.22830835398145,20.138047516352344,247110.123619169,0.27419234548563737,0.18570788917197636,0.10611125313548438
