geoid,name,B11002001,"B11002001, Error",B11002002,"B11002002, Error",B11002003,"B11002003, Error",B11002004,"B11002004, Error",B11002005,"B11002005, Error",B11002006,"B11002006, Error",B11002007,"B11002007, Error",B11002008,"B11002008, Error",B11002009,"B11002009, Error",B11002010,"B11002010, Error",B11002011,"B11002011, Error",B11002012,"B11002012, Error"
86000US32059,"32059",2418,444,1976,400,1279,397,1276,397,3,5,374,246,247,160,127,111,323,153,319,152,4,7,442,181
86000US32060,"32060",23197,1008,20898,1035,14315,1416,14202,1399,113,100,2144,778,1912,655,232,183,4439,1193,4017,1057,422,256,2299,443
86000US32061,"32061",514,371,514,371,469,369,469,369,0,14,45,71,45,71,0,14,0,14,0,14,0,14,0,14
86000US32062,"32062",1826,469,1621,490,1017,332,1017,332,0,14,191,231,135,158,56,91,413,309,413,309,0,14,205,118
86000US32063,"32063",12402,825,10858,894,8574,965,8557,966,17,29,875,493,836,467,39,49,1409,588,1347,537,62,120,1544,430
86000US32064,"32064",6473,155,5317,520,2856,770,2815,763,41,47,922,570,922,570,0,19,1539,698,1511,698,28,49,1156,493
86000US32065,"32065",37113,1917,33569,1881,25232,1841,25048,1810,184,171,1875,578,1728,538,147,97,6462,1249,5986,1173,476,211,3544,645
86000US32066,"32066",5911,506,5369,538,4315,725,4201,721,114,86,67,75,62,68,5,11,987,465,955,452,32,61,542,170
86000US32068,"32068",57287,2570,51530,2671,38523,2509,37928,2449,595,409,4911,1746,3914,1129,997,791,8096,1401,7095,1230,1001,331,5757,860
86000US32071,"32071",3869,657,3396,692,2447,534,2447,534,0,14,502,371,429,302,73,78,447,324,422,311,25,39,473,263
86000US32072,"32072",211,148,161,157,74,91,74,91,0,14,0,14,0,14,0,14,87,132,87,132,0,14,50,49
86000US32073,"32073",41929,1414,36664,1544,25494,1675,25339,1661,155,102,3473,940,2868,695,605,422,7697,1321,7354,1285,343,125,5265,548
86000US32079,"32079",336,113,204,86,186,74,186,74,0,14,0,14,0,14,0,14,18,33,18,33,0,14,132,54
86000US32080,"32080",22251,763,17593,875,14806,1020,14697,1019,109,80,796,425,747,411,49,68,1991,493,1844,455,147,99,4658,616
86000US32081,"32081",14856,1436,14136,1491,13361,1479,13309,1476,52,80,214,177,175,141,39,47,561,295,550,296,11,17,720,215
86000US32082,"32082",30493,1109,25336,1074,21551,1056,21500,1057,51,63,1176,461,1105,443,71,45,2609,618,2473,579,136,83,5157,652
86000US32083,"32083",1376,238,1228,230,1051,225,1050,225,1,2,84,67,74,62,10,13,93,63,93,63,0,14,148,63
86000US32084,"32084",34240,1446,26399,1693,17249,1252,16952,1217,297,174,1691,567,1491,527,200,114,7459,1211,6850,1098,609,225,7841,923
86000US32086,"32086",29243,1291,23363,1369,17485,1313,17336,1293,149,101,1679,583,1429,517,250,160,4199,1028,3804,916,395,199,5880,706
86000US32087,"32087",5316,785,4558,795,2948,737,2948,737,0,19,183,249,160,222,23,30,1427,741,1120,500,307,367,758,413
86000US32091,"32091",14779,837,12103,867,8055,1052,8017,1047,38,42,1188,655,1108,636,80,103,2860,628,2683,593,177,97,2676,494
86000US32092,"32092",36930,2215,32876,2234,27204,2071,27013,2084,191,179,921,689,921,689,0,29,4751,1978,4451,1822,300,273,4054,1109
86000US32094,"32094",2283,559,1895,542,1621,521,1575,515,46,71,31,58,31,58,0,14,243,263,243,263,0,14,388,184
86000US32095,"32095",11661,1321,10144,1382,7695,1166,7672,1159,23,39,842,647,783,638,59,65,1607,798,1369,675,238,173,1517,449
86000US32096,"32096",2181,331,1765,327,1233,267,1231,266,2,5,111,102,87,77,24,28,421,194,397,180,24,25,416,99
86000US32097,"32097",18738,935,16623,1050,12256,1160,12127,1149,129,123,1274,456,1044,364,230,137,3093,747,2830,683,263,132,2115,515
86000US32102,"32102",2283,444,1599,477,906,289,906,289,0,14,318,260,301,256,17,21,375,323,375,323,0,14,684,162
86000US32110,"32110",7941,598,6299,598,3814,656,3783,652,31,29,945,478,825,410,120,106,1540,438,1379,389,161,106,1642,292
86000US32112,"32112",7568,756,6109,746,3688,748,3632,734,56,52,1038,454,988,431,50,49,1383,570,1260,518,123,81,1459,255
86000US32113,"32113",4938,767,4232,751,2259,561,2259,561,0,19,1041,629,722,432,319,277,932,519,859,462,73,79,706,240
86000US32114,"32114",30137,1061,19967,1359,7880,1026,7692,989,188,175,2781,786,2548,727,233,118,9306,1181,8863,1146,443,176,10170,1007
86000US32117,"32117",25876,1135,19820,1296,10808,1190,10528,1189,280,256,2274,690,2003,618,271,165,6738,1127,6301,1062,437,174,6056,561
86000US32118,"32118",17515,854,11617,973,8152,794,8152,794,0,21,1573,555,1337,444,236,144,1892,585,1833,575,59,49,5898,488
86000US32119,"32119",22271,564,15858,681,10353,849,10256,849,97,64,1904,524,1732,488,172,86,3601,640,3305,541,296,171,6413,571
86000US32124,"32124",4201,509,3348,540,2704,495,2681,495,23,34,86,71,77,62,9,14,558,302,532,273,26,42,853,181
86000US32127,"32127",30277,1100,23434,1184,17477,1504,17389,1489,88,73,2277,606,1907,494,370,192,3680,993,3425,951,255,123,6843,781
86000US32128,"32128",21174,1000,18612,1146,14390,1200,14285,1203,105,100,1559,708,1451,686,108,104,2663,816,2552,792,111,92,2562,496
86000US32129,"32129",22148,1051,15695,1196,11012,1216,10844,1193,168,136,972,488,828,402,144,142,3711,908,3569,879,142,68,6453,661
86000US32130,"32130",5685,774,5035,804,4003,869,3950,859,53,81,485,390,394,304,91,98,547,422,532,418,15,24,650,175
86000US32131,"32131",3768,420,3058,467,2154,434,2142,435,12,17,376,182,363,179,13,20,528,272,512,270,16,24,710,192
86000US32132,"32132",7565,488,5698,553,3892,521,3862,519,30,28,734,439,551,304,183,169,1072,382,994,345,78,77,1867,220
86000US32133,"32133",17,38,17,38,17,38,17,38,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32134,"32134",7745,846,6265,834,4949,814,4803,776,146,87,396,250,367,230,29,39,920,320,853,307,67,46,1480,332
86000US32136,"32136",8306,312,6510,366,5695,373,5695,373,0,19,371,210,352,205,19,16,444,210,424,197,20,24,1796,270
86000US32137,"32137",43783,1120,36942,1218,29035,1325,28660,1311,375,193,2399,639,2151,590,248,175,5508,1000,5069,895,439,240,6841,694
86000US32139,"32139",971,333,785,339,599,328,599,328,0,14,33,56,20,34,13,23,153,151,153,151,0,14,186,70
86000US32140,"32140",1439,390,1224,409,523,257,509,249,14,23,133,209,133,209,0,14,568,347,445,280,123,114,215,115
86000US32141,"32141",19017,674,15502,710,11242,901,11096,863,146,141,1252,586,1053,477,199,126,3008,625,2686,538,322,149,3515,488
86000US32145,"32145",5520,472,4449,522,3070,423,2968,409,102,104,265,175,214,143,51,56,1114,434,944,362,170,118,1071,304
86000US32147,"32147",790,633,790,633,287,376,287,376,0,14,199,163,164,131,35,54,304,431,150,207,154,226,0,14
86000US32148,"32148",10710,1021,8748,1053,5114,874,5027,853,87,75,1259,584,962,406,297,266,2375,725,2093,624,282,219,1962,379
86000US32157,"32157",363,206,315,214,122,96,122,96,0,14,36,37,36,37,0,14,157,182,157,182,0,14,48,38
86000US32159,"32159",29777,947,22365,991,17616,1150,17489,1159,127,125,1219,550,1029,460,190,133,3530,747,3290,713,240,111,7412,611
86000US32162,"32162",54908,2012,44190,2154,41849,2092,41787,2108,62,131,760,559,721,527,39,63,1581,837,1581,837,0,32,10718,1095
86000US32164,"32164",47232,1027,40698,1331,27494,1725,27162,1696,332,184,3505,1098,2929,901,576,265,9699,1224,8715,1095,984,297,6534,764
86000US32168,"32168",27630,1081,21679,1134,16661,1074,16627,1064,34,40,1727,554,1464,459,263,141,3291,753,3060,692,231,146,5951,772
86000US32169,"32169",10047,743,6922,610,5625,590,5610,580,15,25,503,237,420,184,83,67,794,258,758,253,36,33,3125,431
86000US32174,"32174",50593,1160,39678,1585,30878,1663,30730,1635,148,125,2838,798,2453,667,385,179,5962,977,5641,931,321,164,10915,1045
86000US32176,"32176",14450,753,10630,818,8134,729,8060,742,74,78,732,339,719,336,13,21,1764,378,1703,366,61,46,3820,356
86000US32177,"32177",26174,1096,21485,1142,13456,1218,13380,1228,76,69,1225,516,1069,452,156,96,6804,1080,6208,966,596,255,4689,537
86000US32179,"32179",7909,1101,6160,1087,3657,618,3657,618,0,19,350,175,350,175,0,19,2153,913,2035,886,118,91,1749,397
86000US32180,"32180",4535,684,3999,693,3072,648,2987,656,85,54,470,273,413,255,57,48,457,299,422,258,35,48,536,177
86000US32181,"32181",2523,538,1918,530,1399,508,1370,492,29,34,141,106,125,87,16,27,378,249,367,247,11,14,605,165
86000US32187,"32187",1863,422,1627,470,1312,425,1297,419,15,23,0,14,0,14,0,14,315,278,315,278,0,14,236,148
86000US32189,"32189",5874,810,4539,859,3396,760,3388,760,8,11,342,237,313,225,29,34,801,561,767,518,34,53,1335,319
86000US32190,"32190",1309,512,1203,531,1063,541,1063,541,0,14,66,92,66,92,0,14,74,113,74,113,0,14,106,82
86000US32193,"32193",705,233,537,232,415,221,402,211,13,21,0,14,0,14,0,14,122,77,122,77,0,14,168,71
86000US32195,"32195",2926,581,2494,547,1763,523,1652,480,111,88,169,135,154,121,15,23,562,395,562,395,0,14,432,153
86000US32202,"32202",3108,388,1513,397,688,300,688,300,0,19,52,61,52,61,0,19,773,264,693,234,80,64,1595,222
86000US32204,"32204",7154,770,3356,664,2175,534,2149,521,26,45,124,124,96,89,28,46,1057,417,1014,400,43,45,3798,503
86000US32205,"32205",30169,1355,21963,1416,12927,1332,12815,1327,112,86,2228,611,1891,505,337,166,6808,1012,6452,955,356,141,8206,609
86000US32206,"32206",15629,868,11263,916,3702,609,3694,611,8,12,1457,435,1373,420,84,55,6104,793,5852,748,252,99,4366,439
86000US32207,"32207",35127,1417,26332,1625,18027,1495,17853,1491,174,155,2009,935,1936,909,73,69,6296,1173,5992,1086,304,147,8795,817
86000US32208,"32208",30727,1638,25128,1778,11020,1327,10976,1336,44,53,3535,910,3286,871,249,125,10573,1539,10240,1517,333,141,5599,592
86000US32209,"32209",34449,1522,27671,1641,7032,916,6899,917,133,203,3816,841,3503,766,313,137,16823,1431,15938,1339,885,259,6778,562
86000US32210,"32210",61892,1870,50657,2225,29123,1931,28840,1931,283,121,5549,858,4687,729,862,249,15985,1927,15015,1835,970,220,11235,1025
86000US32211,"32211",35358,1523,28593,1754,16522,1338,16155,1312,367,226,2678,800,2265,672,413,202,9393,1176,8647,1043,746,311,6765,714
86000US32212,"32212",907,121,892,124,798,196,798,196,0,14,0,14,0,14,0,14,94,114,94,114,0,14,15,18
86000US32216,"32216",37108,1760,28438,1898,17959,1764,17868,1771,91,77,2722,839,2105,616,617,274,7757,1159,7233,1137,524,179,8670,746
86000US32217,"32217",19625,1029,14896,1190,9913,996,9897,992,16,26,2071,687,1813,590,258,176,2912,817,2841,799,71,53,4729,623
86000US32218,"32218",63113,2499,54414,2661,33480,2723,33279,2753,201,119,3262,759,2917,672,345,200,17672,2348,16493,2202,1179,424,8699,908
86000US32219,"32219",12502,1684,10624,1711,8048,1925,7960,1941,88,116,613,333,586,323,27,35,1963,880,1897,862,66,70,1878,420
86000US32220,"32220",12979,1123,11424,1175,8216,1078,8200,1074,16,24,853,507,769,451,84,98,2355,817,2330,811,25,40,1555,320
86000US32221,"32221",30693,1565,27365,1644,19311,1626,19138,1593,173,102,2693,900,2316,762,377,210,5361,1276,4891,1152,470,245,3328,668
86000US32222,"32222",11521,1256,10585,1303,7644,1017,7600,1015,44,55,539,396,426,318,113,91,2402,743,2294,754,108,104,936,262
86000US32223,"32223",24506,753,21247,865,16562,1019,16413,1019,149,104,1410,484,1250,430,160,118,3275,690,3040,617,235,134,3259,355
86000US32224,"32224",39875,2118,30775,2373,23491,2226,23267,2168,224,184,1670,918,1529,781,141,173,5614,1419,5103,1288,511,241,9100,1010
86000US32225,"32225",55018,1816,47093,2008,34876,1877,34322,1814,554,255,3141,901,2829,835,312,146,9076,1424,8579,1339,497,200,7925,805
86000US32226,"32226",15633,970,14134,960,11815,1156,11700,1154,115,87,395,319,303,231,92,101,1924,595,1739,560,185,131,1499,293
86000US32227,"32227",1693,255,1689,256,1572,248,1572,248,0,14,53,59,53,59,0,14,64,56,64,56,0,14,4,6
86000US32228,"32228",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32233,"32233",22998,668,17522,815,11233,784,11167,783,66,46,1216,430,1131,412,85,62,5073,721,4629,650,444,218,5476,592
86000US32234,"32234",5867,672,5063,656,3941,722,3881,710,60,47,188,117,165,99,23,22,934,377,885,355,49,50,804,223
86000US32244,"32244",59220,2370,50209,2700,30258,2266,29744,2255,514,307,4156,1113,3634,953,522,297,15795,1911,14643,1774,1152,373,9011,1120
86000US32246,"32246",51406,2392,40090,2578,27197,2140,26924,2131,273,148,3420,1102,2892,878,528,296,9473,1432,8855,1291,618,256,11316,1216
86000US32250,"32250",27071,574,19795,834,15570,876,15462,873,108,81,541,274,469,239,72,74,3684,880,3366,803,318,230,7276,678
86000US32254,"32254",13102,899,10571,896,4493,734,4442,736,51,50,961,328,940,322,21,25,5117,863,4923,832,194,98,2531,492
86000US32256,"32256",47818,2146,34892,2465,25835,2249,25740,2244,95,113,2537,780,2390,772,147,142,6520,1341,6022,1157,498,328,12926,1165
86000US32257,"32257",38622,1152,31775,1194,24544,1397,24424,1400,120,81,2596,781,2100,594,496,286,4635,1084,4271,1008,364,194,6847,600
86000US32258,"32258",33853,1986,29245,2067,21941,1934,21603,1899,338,217,2771,1112,2430,957,341,255,4533,1485,4051,1286,482,449,4608,750
86000US32259,"32259",52278,1384,49427,1431,42693,1318,42459,1308,234,126,1486,456,1394,439,92,64,5248,1200,4993,1140,255,150,2851,477
86000US32266,"32266",7101,329,5152,438,4238,438,4238,438,0,19,274,190,236,162,38,61,640,285,550,233,90,88,1949,394
86000US32277,"32277",31327,1550,25788,1672,16065,1482,15966,1489,99,89,1998,772,1807,726,191,104,7725,1233,7311,1131,414,205,5539,597
86000US32301,"32301",28282,910,17627,1080,8416,953,8342,934,74,71,2171,573,1971,536,200,109,7040,725,6741,692,299,111,10655,913
86000US32303,"32303",48411,1654,32925,1700,20483,1377,20361,1333,122,124,3078,719,2683,620,395,161,9364,1233,8886,1179,478,196,15486,1137
86000US32304,"32304",41718,1598,12200,1188,3884,721,3861,717,23,25,1214,437,969,336,245,140,7102,1192,6562,1118,540,208,29518,1578
86000US32305,"32305",20435,1171,17080,1350,8144,1013,8073,996,71,65,2008,734,1859,673,149,93,6928,1122,6408,1034,520,204,3355,604
86000US32308,"32308",21143,1061,14948,1059,11493,1007,11425,1032,68,82,687,381,687,381,0,25,2768,725,2718,711,50,44,6195,605
86000US32309,"32309",31574,1207,27299,1376,22355,1431,22274,1420,81,59,786,332,687,275,99,88,4158,743,3932,684,226,158,4275,534
86000US32310,"32310",14846,1169,11503,1142,5963,878,5958,878,5,8,1130,458,1000,411,130,91,4410,895,4060,826,350,176,3343,454
86000US32311,"32311",21323,867,17990,972,12556,927,12450,908,106,92,758,330,639,274,119,118,4676,926,4473,904,203,139,3333,481
86000US32312,"32312",32750,1227,29243,1225,24940,1330,24898,1331,42,34,1177,401,1139,398,38,27,3126,742,2999,691,127,101,3507,632
86000US32317,"32317",14773,925,13209,936,11369,791,11296,787,73,60,225,122,204,110,21,22,1615,728,1527,662,88,96,1564,292
86000US32320,"32320",3867,369,3251,394,2292,388,2292,388,0,14,261,203,217,172,44,43,698,226,645,206,53,57,616,142
86000US32321,"32321",4876,358,4221,389,2424,438,2410,437,14,17,768,380,739,370,29,40,1029,310,1017,308,12,21,655,167
86000US32322,"32322",2472,271,1922,262,1227,294,1222,294,5,8,188,151,168,131,20,23,507,276,472,271,35,37,550,133
86000US32323,"32323",137,83,90,86,90,86,90,86,0,14,0,14,0,14,0,14,0,14,0,14,0,14,47,52
86000US32324,"32324",3663,465,2880,424,1549,355,1549,355,0,14,166,139,166,139,0,14,1165,351,1158,350,7,10,783,190
86000US32327,"32327",25084,676,21839,729,17384,1163,17313,1153,71,63,1682,556,1514,492,168,115,2773,752,2406,662,367,178,3245,483
86000US32328,"32328",3334,398,2776,392,2005,407,2005,407,0,14,174,147,174,147,0,14,597,258,545,225,52,52,558,158
86000US32330,"32330",651,239,600,236,312,174,302,166,10,16,88,88,82,84,6,10,200,119,200,119,0,14,51,44
86000US32331,"32331",4058,486,3557,511,2044,464,2000,454,44,39,394,199,326,162,68,51,1119,385,1111,382,8,13,501,151
86000US32332,"32332",1077,315,860,320,362,200,362,200,0,14,86,111,86,111,0,14,412,228,412,228,0,14,217,87
86000US32333,"32333",10874,905,8749,952,5331,697,5319,694,12,20,735,459,404,232,331,274,2683,630,2643,623,40,42,2125,406
86000US32334,"32334",2024,303,1680,306,977,259,977,259,0,14,595,143,572,139,23,25,108,84,91,71,17,30,344,105
86000US32336,"32336",1128,306,985,312,823,297,818,297,5,11,13,22,13,22,0,14,149,130,121,108,28,40,143,75
86000US32340,"32340",9377,704,7632,791,4811,781,4811,781,0,21,447,263,399,232,48,41,2374,507,2266,482,108,57,1745,277
86000US32343,"32343",3221,21,2819,139,1857,238,1839,237,18,30,267,192,237,175,30,41,695,252,635,232,60,54,402,137
86000US32344,"32344",10276,435,8291,429,6036,571,6012,578,24,26,571,202,418,141,153,105,1684,382,1591,367,93,62,1985,277
86000US32346,"32346",1933,431,1536,456,1133,481,1133,481,0,14,0,14,0,14,0,14,403,376,403,376,0,14,397,138
86000US32347,"32347",7454,508,6441,601,5453,616,5178,567,275,183,208,179,208,179,0,19,780,404,710,359,70,64,1013,321
86000US32348,"32348",9282,597,7991,652,4926,676,4926,676,0,21,283,239,166,135,117,107,2782,585,2710,556,72,85,1291,272
86000US32350,"32350",1272,318,903,261,753,249,753,249,0,14,90,95,90,95,0,14,60,94,51,77,9,18,369,158
86000US32351,"32351",16412,942,14135,898,7145,899,7105,884,40,60,525,310,471,271,54,68,6465,913,6223,879,242,144,2277,379
86000US32352,"32352",6246,901,5459,953,3747,750,3670,729,77,111,120,146,96,109,24,42,1592,590,1447,562,145,115,787,242
86000US32355,"32355",244,89,182,72,134,61,129,58,5,9,41,45,39,44,2,4,7,11,7,11,0,14,62,40
86000US32356,"32356",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32358,"32358",2021,507,1668,503,1071,389,1071,389,0,14,17,15,17,15,0,14,580,305,562,297,18,28,353,124
86000US32359,"32359",1271,392,1072,397,962,376,962,376,0,14,0,14,0,14,0,14,110,103,110,103,0,14,199,102
86000US32361,"32361",383,190,345,205,263,165,263,165,0,14,82,120,82,120,0,14,0,14,0,14,0,14,38,48
86000US32399,"32399",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32401,"32401",21590,1168,16386,1227,7068,761,6979,747,89,83,2257,829,1837,666,420,207,7061,929,6768,864,293,158,5204,516
86000US32403,"32403",2399,308,2355,308,2267,315,2267,315,0,14,33,41,33,41,0,14,55,74,55,74,0,14,44,27
86000US32404,"32404",38752,1500,32937,1565,23122,1663,23015,1649,107,86,2852,658,2497,545,355,229,6963,1220,6424,1173,539,226,5815,615
86000US32405,"32405",31773,1291,25939,1287,16855,1256,16627,1219,228,128,2296,678,2077,597,219,122,6788,995,6407,928,381,165,5834,628
86000US32407,"32407",10708,692,7953,724,6103,698,6036,688,67,70,511,271,448,250,63,46,1339,394,1218,368,121,90,2755,451
86000US32408,"32408",18850,919,14473,990,10558,1108,10497,1107,61,54,1038,474,854,405,184,170,2877,810,2618,757,259,153,4377,618
86000US32409,"32409",10144,879,8996,867,7128,838,7079,828,49,75,697,464,672,461,25,38,1171,455,1106,420,65,72,1148,232
86000US32410,"32410",964,134,754,135,648,134,648,134,0,14,16,24,16,24,0,14,90,51,77,44,13,13,210,60
86000US32413,"32413",14805,905,12001,905,9806,1081,9694,1057,112,103,722,330,665,315,57,48,1473,444,1326,390,147,89,2804,428
86000US32420,"32420",1958,318,1526,301,1069,302,1044,292,25,41,100,77,90,69,10,11,357,155,341,149,16,14,432,124
86000US32421,"32421",4834,583,4094,575,3068,525,3068,525,0,14,487,304,434,270,53,51,539,229,498,200,41,39,740,239
86000US32423,"32423",966,232,884,241,732,246,732,246,0,14,33,32,33,32,0,14,119,80,119,80,0,14,82,39
86000US32424,"32424",5495,517,4440,511,3095,512,3095,512,0,19,244,197,232,189,12,21,1101,342,1073,335,28,27,1055,197
86000US32425,"32425",11814,577,10029,619,7073,631,7050,633,23,21,674,277,619,264,55,44,2282,640,2140,576,142,105,1785,285
86000US32426,"32426",814,170,743,170,423,118,422,117,1,3,48,50,48,50,0,14,272,145,247,123,25,31,71,36
86000US32427,"32427",1007,234,684,217,499,187,484,178,15,18,35,44,34,44,1,2,150,112,149,112,1,3,323,120
86000US32428,"32428",14746,666,12425,733,8559,820,8472,818,87,51,1146,438,1036,390,110,79,2720,536,2602,503,118,75,2321,342
86000US32430,"32430",1173,363,947,353,727,313,727,313,0,14,69,116,69,116,0,14,151,157,131,129,20,34,226,100
86000US32431,"32431",4145,395,3555,405,2591,366,2544,367,47,50,236,128,229,125,7,9,728,249,698,237,30,40,590,114
86000US32432,"32432",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32433,"32433",16405,1084,14059,1190,9827,1101,9523,1035,304,344,750,422,621,341,129,112,3482,1027,3065,908,417,256,2346,435
86000US32435,"32435",7262,684,5646,781,4310,689,4251,698,59,79,285,180,215,131,70,61,1051,514,1042,513,9,14,1616,406
86000US32437,"32437",843,275,734,274,318,135,318,135,0,14,308,201,308,201,0,14,108,78,106,78,2,4,109,50
86000US32438,"32438",3803,676,2810,671,1819,558,1792,550,27,43,162,126,162,126,0,14,829,479,706,414,123,117,993,333
86000US32439,"32439",10413,919,8883,982,6661,809,6617,805,44,45,830,569,763,510,67,68,1392,477,1273,454,119,59,1530,274
86000US32440,"32440",5286,508,4480,491,3131,419,3111,417,20,20,607,287,536,258,71,52,742,230,646,196,96,76,806,190
86000US32442,"32442",3299,555,2584,585,2028,574,2028,574,0,14,165,121,161,119,4,7,391,215,391,215,0,14,715,203
86000US32443,"32443",3165,416,2831,439,1880,374,1871,376,9,15,170,127,135,96,35,34,781,320,709,279,72,84,334,90
86000US32444,"32444",22142,948,19657,943,15032,1214,14887,1210,145,101,1013,341,892,290,121,86,3612,890,3535,872,77,65,2485,441
86000US32445,"32445",1224,212,995,220,730,210,730,210,0,14,114,92,105,83,9,13,151,88,144,86,7,9,229,73
86000US32446,"32446",9651,781,8017,875,5947,702,5941,705,6,26,182,150,143,112,39,45,1888,601,1791,560,97,80,1634,312
86000US32447,"32447",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32448,"32448",8290,693,6523,694,3968,606,3968,606,0,19,956,652,731,502,225,199,1599,516,1559,503,40,45,1767,330
86000US32449,"32449",552,205,536,210,441,231,441,231,0,14,56,92,56,92,0,14,39,63,39,63,0,14,16,17
86000US32455,"32455",4048,499,3598,493,2834,492,2834,492,0,14,89,72,86,70,3,8,675,230,563,181,112,102,450,145
86000US32456,"32456",7883,395,6848,397,5243,523,5233,520,10,16,451,213,367,171,84,73,1154,411,1105,402,49,38,1035,187
86000US32459,"32459",17126,1050,13698,1092,10881,1153,10845,1148,36,39,937,363,859,344,78,69,1880,663,1769,653,111,108,3428,693
86000US32460,"32460",3482,410,2885,471,1640,365,1609,353,31,52,529,222,425,192,104,69,716,283,642,250,74,59,597,165
86000US32461,"32461",36,40,22,33,22,33,22,33,0,14,0,14,0,14,0,14,0,14,0,14,0,14,14,21
86000US32462,"32462",3420,404,2844,385,1788,404,1754,393,34,30,430,223,341,177,89,74,626,242,596,231,30,30,576,158
86000US32463,"32463",216,99,154,97,91,70,91,70,0,14,40,46,40,46,0,14,23,37,23,37,0,14,62,36
86000US32464,"32464",4367,499,3688,495,2352,530,2352,530,0,14,574,259,493,228,81,72,762,325,717,304,45,45,679,164
86000US32465,"32465",5674,422,4488,446,3227,557,3212,556,15,19,272,172,249,153,23,30,989,348,927,335,62,45,1186,309
86000US32466,"32466",5795,1116,5050,1134,4070,949,3928,907,142,136,426,450,410,427,16,24,554,425,541,416,13,22,745,249
86000US32501,"32501",9699,747,7207,739,3180,567,3150,556,30,45,922,481,879,475,43,48,3105,762,2990,710,115,86,2492,304
86000US32502,"32502",3258,457,2179,474,1342,376,1342,376,0,14,118,120,118,120,0,14,719,341,687,324,32,34,1079,211
86000US32503,"32503",29536,1262,22454,1451,14254,1253,14180,1252,74,71,1298,480,1073,361,225,213,6902,995,6590,940,312,197,7082,728
86000US32504,"32504",22384,1248,17942,1399,11763,1324,11580,1319,183,162,1358,652,1168,559,190,161,4821,1157,4549,1060,272,199,4442,547
86000US32505,"32505",26088,1606,19409,1887,10061,1665,9996,1658,65,67,2234,923,2107,854,127,99,7114,1048,6785,989,329,138,6679,745
86000US32506,"32506",36378,1756,29172,1900,18899,1619,18749,1613,150,87,2758,656,2333,592,425,154,7515,1287,7211,1242,304,133,7206,696
86000US32507,"32507",30602,1537,22943,1704,14830,1526,14766,1526,64,59,1828,574,1577,490,251,124,6285,1209,5919,1137,366,171,7659,802
86000US32508,"32508",1205,181,815,168,785,173,785,173,0,19,0,19,0,19,0,19,30,36,30,36,0,19,390,113
86000US32509,"32509",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32511,"32511",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32514,"32514",40051,1634,29917,1695,19024,1636,18788,1596,236,160,2203,666,1957,585,246,144,8690,1373,8042,1284,648,267,10134,821
86000US32526,"32526",37194,1263,31197,1444,22809,1277,22379,1198,430,248,2565,962,2348,836,217,159,5823,992,5634,971,189,69,5997,715
86000US32530,"32530",40,67,40,67,40,67,40,67,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32531,"32531",5517,796,4484,824,3538,767,3538,767,0,19,78,105,58,79,20,38,868,576,868,576,0,19,1033,324
86000US32533,"32533",29498,1279,25624,1434,19967,1470,19888,1468,79,67,1282,523,1148,461,134,129,4375,908,4256,875,119,94,3874,515
86000US32534,"32534",14702,1134,11164,1174,6433,844,6433,844,0,21,1446,708,1260,628,186,143,3285,837,3096,765,189,205,3538,483
86000US32535,"32535",4419,556,3749,589,2070,406,2070,406,0,19,599,297,525,267,74,73,1080,370,994,332,86,86,670,152
86000US32536,"32536",24029,1257,21125,1358,17193,1370,17072,1379,121,150,711,452,591,381,120,90,3221,874,2971,797,250,177,2904,559
86000US32539,"32539",27436,1502,24448,1719,17153,1776,17035,1774,118,106,2643,1035,2039,794,604,315,4652,1278,4257,1131,395,253,2988,539
86000US32541,"32541",18917,514,14117,563,11440,661,11256,643,184,117,789,266,714,243,75,54,1888,412,1783,394,105,68,4800,478
86000US32542,"32542",2069,438,1838,434,1595,483,1595,483,0,14,0,14,0,14,0,14,243,181,243,181,0,14,231,78
86000US32544,"32544",1100,396,1100,396,1047,392,1047,392,0,14,0,14,0,14,0,14,53,84,53,84,0,14,0,14
86000US32547,"32547",34008,1329,25014,1467,17148,1265,16782,1261,366,227,2327,714,2039,630,288,162,5539,949,5166,906,373,160,8994,718
86000US32548,"32548",21468,763,16017,937,10602,1011,10538,1003,64,47,1561,405,1347,348,214,98,3854,633,3686,607,168,85,5451,496
86000US32550,"32550",7912,769,6639,786,5466,708,5373,712,93,69,534,395,467,346,67,81,639,283,596,252,43,69,1273,293
86000US32561,"32561",9877,366,8182,535,6595,597,6577,595,18,29,559,408,543,403,16,25,1028,361,996,349,32,37,1695,435
