geoid,name,B13016001,"B13016001, Error",B13016002,"B13016002, Error",B13016003,"B13016003, Error",B13016004,"B13016004, Error",B13016005,"B13016005, Error",B13016006,"B13016006, Error",B13016007,"B13016007, Error",B13016008,"B13016008, Error",B13016009,"B13016009, Error",B13016010,"B13016010, Error",B13016011,"B13016011, Error",B13016012,"B13016012, Error",B13016013,"B13016013, Error",B13016014,"B13016014, Error",B13016015,"B13016015, Error",B13016016,"B13016016, Error",B13016017,"B13016017, Error"
86000US33480,"33480",697,165,23,22,0,21,0,21,0,21,0,21,12,19,11,17,0,21,674,165,20,30,63,57,82,54,20,22,149,84,83,58,257,92
86000US33483,"33483",2103,333,51,42,0,21,0,21,0,21,9,13,23,27,19,30,0,21,2052,338,102,66,283,174,368,180,313,139,230,90,176,91,580,122
86000US33484,"33484",2647,397,77,58,0,25,6,11,3,4,22,33,11,19,35,42,0,25,2570,398,305,103,283,95,413,203,471,233,353,105,270,107,475,155
86000US33486,"33486",5005,521,234,122,0,25,0,25,65,69,105,72,64,62,0,25,0,25,4771,538,745,216,716,284,563,243,391,144,599,140,724,182,1033,252
86000US33487,"33487",3573,564,217,112,0,25,10,15,20,32,79,72,71,63,7,10,30,46,3356,553,267,105,653,406,547,257,343,129,467,156,355,120,724,190
86000US33493,"33493",381,88,39,26,0,19,9,14,13,16,6,10,11,14,0,19,0,19,342,84,39,28,63,35,58,41,27,21,21,19,45,28,89,46
86000US33496,"33496",3608,442,125,86,0,25,0,25,0,25,81,72,44,50,0,25,0,25,3483,428,780,167,337,126,446,266,250,121,374,109,507,148,789,233
86000US33498,"33498",2939,408,97,73,0,21,0,21,37,56,8,13,9,15,43,40,0,21,2842,422,529,219,260,138,342,143,214,87,268,82,629,180,600,165
86000US33503,"33503",52,61,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,52,61,23,29,12,23,0,14,0,14,0,14,17,27,0,14
86000US33510,"33510",7139,554,557,168,0,25,101,71,149,84,166,86,98,75,28,37,15,17,6582,532,1030,252,888,260,1007,271,703,217,946,220,959,277,1049,241
86000US33511,"33511",14944,794,568,207,0,32,98,79,190,126,196,143,58,54,26,37,0,32,14376,775,1356,312,1705,313,2321,398,2143,310,2235,323,2204,389,2412,346
86000US33513,"33513",1838,288,342,150,0,21,71,59,112,120,28,37,32,39,99,77,0,21,1496,246,265,97,236,137,150,89,116,68,206,92,133,69,390,128
86000US33514,"33514",778,429,127,148,0,14,34,40,1,4,0,14,92,143,0,14,0,14,651,308,172,124,74,59,11,14,175,163,49,46,99,82,71,52
