geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
86000US32601,"32601",7907,480,2036,277,5871,494
86000US32603,"32603",1732,250,244,102,1488,243
86000US32605,"32605",10248,374,7263,432,2985,306
86000US32606,"32606",9456,477,4822,413,4634,498
86000US32607,"32607",11802,592,3979,309,7823,559
86000US32608,"32608",19118,621,8112,431,11006,631
86000US32609,"32609",7153,355,3993,372,3160,340
86000US32612,"32612",5,7,0,19,5,7
86000US32615,"32615",5244,348,4103,361,1141,259
86000US32616,"32616",378,109,214,90,164,82
86000US32617,"32617",1707,206,1345,190,362,136
86000US32618,"32618",2832,269,2343,232,489,183
86000US32619,"32619",1979,212,1676,222,303,104
86000US32621,"32621",1976,227,1464,229,512,176
86000US32622,"32622",422,138,321,90,101,115
86000US32625,"32625",629,103,458,94,171,64
86000US32626,"32626",3613,285,2784,258,829,168
86000US32628,"32628",1537,203,1137,205,400,113
86000US32631,"32631",102,75,102,75,0,14
86000US32639,"32639",97,56,86,52,11,18
86000US32640,"32640",4393,379,3611,359,782,172
86000US32641,"32641",4749,323,2841,294,1908,252
86000US32643,"32643",4558,350,3862,341,696,181
86000US32648,"32648",169,73,166,73,3,5
86000US32653,"32653",5974,323,4625,292,1349,262
86000US32656,"32656",5533,321,4359,326,1174,234
86000US32658,"32658",98,35,85,32,13,14
86000US32664,"32664",181,51,132,47,49,32
86000US32666,"32666",2745,315,2289,284,456,175
86000US32667,"32667",1811,198,1314,137,497,160
86000US32668,"32668",2031,253,1755,223,276,112
86000US32669,"32669",4967,369,4193,363,774,192
86000US32680,"32680",4424,280,3501,259,923,289
86000US32681,"32681",16,24,16,24,0,14
86000US32683,"32683",65,37,59,37,6,7
86000US32686,"32686",2011,253,1422,225,589,177
86000US32692,"32692",68,63,68,63,0,14
86000US32693,"32693",4323,315,3386,312,937,191
86000US32694,"32694",738,105,519,98,219,76
86000US32696,"32696",4620,314,3576,310,1044,198
86000US32697,"32697",99,44,15,12,84,42
86000US32701,"32701",9910,421,4960,365,4950,390
86000US32702,"32702",1160,143,768,127,392,103
86000US32703,"32703",18259,610,11676,647,6583,618
86000US32707,"32707",14857,505,9539,472,5318,443
86000US32708,"32708",17697,531,13156,546,4541,476
86000US32709,"32709",727,143,660,140,67,54
86000US32712,"32712",15790,644,12613,740,3177,530
86000US32713,"32713",8324,406,6722,405,1602,305
86000US32714,"32714",15450,465,7092,446,8358,451
86000US32720,"32720",12493,486,8476,528,4017,429
86000US32724,"32724",14711,468,10361,426,4350,440
86000US32725,"32725",16949,459,13099,615,3850,453
86000US32726,"32726",8489,369,5313,346,3176,364
86000US32730,"32730",2639,247,941,171,1698,261
86000US32732,"32732",1757,196,1703,194,54,46
86000US32735,"32735",2106,252,1792,253,314,126
86000US32736,"32736",3649,242,3331,231,318,109
86000US32738,"32738",14781,367,11415,459,3366,369
86000US32744,"32744",1494,134,1225,128,269,93
86000US32746,"32746",17365,589,11169,590,6196,384
86000US32750,"32750",9262,398,6402,344,2860,303
86000US32751,"32751",8352,472,5622,380,2730,322
86000US32754,"32754",4161,247,3696,228,465,142
86000US32757,"32757",11369,598,8159,487,3210,405
86000US32759,"32759",1218,199,891,160,327,149
86000US32763,"32763",9296,442,5818,436,3478,371
86000US32764,"32764",1151,167,1082,166,69,40
86000US32765,"32765",21821,472,15254,486,6567,449
86000US32766,"32766",5247,179,4622,250,625,145
86000US32767,"32767",1109,192,900,188,209,95
86000US32771,"32771",20450,743,12227,742,8223,545
86000US32773,"32773",11574,436,6552,485,5022,455
86000US32776,"32776",4001,401,3176,402,825,315
86000US32778,"32778",9561,455,7187,460,2374,259
86000US32779,"32779",10962,288,8860,296,2102,205
86000US32780,"32780",15226,441,10569,457,4657,432
86000US32784,"32784",4320,326,3248,331,1072,237
86000US32789,"32789",11195,382,7585,374,3610,324
86000US32792,"32792",20801,629,9619,426,11182,631
86000US32796,"32796",8043,361,6267,363,1776,287
86000US32798,"32798",1435,205,1344,202,91,64
86000US32801,"32801",7524,487,1799,269,5725,440
86000US32803,"32803",9600,395,5022,325,4578,349
86000US32804,"32804",7775,337,5115,361,2660,356
86000US32805,"32805",7344,409,2536,229,4808,390
86000US32806,"32806",10985,421,6478,361,4507,378
86000US32807,"32807",11720,500,5453,404,6267,434
86000US32808,"32808",18544,425,7408,476,11136,519
86000US32809,"32809",9377,365,4682,348,4695,385
86000US32810,"32810",13454,491,6984,378,6470,572
86000US32811,"32811",14954,574,3786,403,11168,569
86000US32812,"32812",14009,486,7886,480,6123,491
86000US32814,"32814",3542,380,1591,303,1951,346
86000US32817,"32817",11593,398,6620,341,4973,378
86000US32818,"32818",17421,446,9681,513,7740,470
86000US32819,"32819",10131,389,6222,331,3909,413
86000US32820,"32820",2983,183,2468,229,515,201
86000US32821,"32821",7231,543,2804,300,4427,443
86000US32822,"32822",22323,682,8941,564,13382,659
86000US32824,"32824",12894,606,9001,588,3893,623
86000US32825,"32825",20184,700,12782,652,7402,548
86000US32826,"32826",7644,316,4256,313,3388,322
86000US32827,"32827",3414,252,2240,215,1174,213
86000US32828,"32828",22160,723,13827,788,8333,892
86000US32829,"32829",6113,429,4799,392,1314,302
86000US32830,"32830",6,10,0,14,6,10
86000US32831,"32831",27,24,27,24,0,14
86000US32832,"32832",9406,578,6012,547,3394,507
86000US32833,"32833",3357,194,2706,279,651,213
86000US32835,"32835",17491,623,6782,458,10709,530
86000US32836,"32836",7108,463,4828,407,2280,357
86000US32837,"32837",15791,634,9365,521,6426,638
86000US32839,"32839",17483,532,3850,315,13633,536
86000US32901,"32901",10508,433,5117,358,5391,442
86000US32903,"32903",6015,245,5019,251,996,198
86000US32904,"32904",11938,502,9269,550,2669,425
86000US32905,"32905",9432,368,5188,394,4244,413
86000US32907,"32907",14834,455,11885,460,2949,411
86000US32908,"32908",3955,315,3188,320,767,278
86000US32909,"32909",10617,364,8695,449,1922,341
86000US32920,"32920",5372,306,3350,287,2022,269
86000US32922,"32922",6293,412,2564,276,3729,375
86000US32925,"32925",460,33,0,14,460,33
86000US32926,"32926",8279,516,6645,480,1634,357
86000US32927,"32927",10032,465,8666,475,1366,249
86000US32931,"32931",7216,327,4997,358,2219,231
86000US32934,"32934",7269,265,6320,286,949,197
86000US32935,"32935",16764,507,9821,522,6943,522
86000US32937,"32937",11088,396,8700,404,2388,347
86000US32940,"32940",17013,646,13994,655,3019,516
86000US32948,"32948",1849,296,1311,243,538,193
86000US32949,"32949",844,129,805,146,39,33
86000US32950,"32950",1766,151,1589,162,177,105
86000US32951,"32951",5369,293,4530,291,839,189
86000US32952,"32952",8266,361,6992,380,1274,220
86000US32953,"32953",9657,381,7076,353,2581,288
86000US32955,"32955",15317,570,12116,598,3201,355
86000US32958,"32958",11493,527,9488,576,2005,313
86000US32960,"32960",8657,438,5007,325,3650,371
86000US32962,"32962",9021,507,7483,485,1538,283
86000US32963,"32963",7276,385,6784,361,492,134
86000US32966,"32966",7955,514,6160,442,1795,254
86000US32967,"32967",7886,501,6091,454,1795,327
86000US32968,"32968",4383,345,4040,305,343,129
86000US32970,"32970",110,85,94,81,16,25
86000US32976,"32976",4872,282,4386,286,486,189
86000US33001,"33001",185,73,128,68,57,36
86000US33004,"33004",6588,387,3222,352,3366,390
86000US33009,"33009",18467,666,9598,681,8869,534
86000US33010,"33010",15294,413,4560,277,10734,434
86000US33012,"33012",24396,507,11163,567,13233,547
86000US33013,"33013",9698,369,5633,377,4065,385
86000US33014,"33014",14568,363,6401,412,8167,392
86000US33015,"33015",21223,416,10783,596,10440,559
86000US33016,"33016",15348,390,8200,487,7148,414
86000US33018,"33018",14637,386,10868,451,3769,355
86000US33019,"33019",6560,377,4868,319,1692,280
86000US33020,"33020",18578,482,6271,513,12307,600
86000US33021,"33021",18335,542,11753,540,6582,559
86000US33023,"33023",20576,503,13670,475,6906,457
86000US33024,"33024",23605,517,15661,612,7944,493
86000US33025,"33025",25464,681,11671,673,13793,750
86000US33026,"33026",11230,264,9172,350,2058,248
86000US33027,"33027",21520,838,16934,921,4586,558
86000US33028,"33028",8133,276,6277,312,1856,247
86000US33029,"33029",13124,634,11607,688,1517,445
86000US33030,"33030",8950,385,3302,299,5648,380
86000US33031,"33031",1853,235,1550,250,303,130
86000US33032,"33032",13194,490,7535,571,5659,511
86000US33033,"33033",15638,519,8741,496,6897,536
86000US33034,"33034",4744,339,1566,260,3178,332
86000US33035,"33035",4563,348,2157,341,2406,434
86000US33036,"33036",1529,160,1212,143,317,92
86000US33037,"33037",4708,351,3686,287,1022,191
86000US33039,"33039",100,74,100,74,0,14
86000US33040,"33040",13968,506,6226,369,7742,399
86000US33042,"33042",3070,178,2351,172,719,155
86000US33043,"33043",2088,184,1517,158,571,139
86000US33050,"33050",4115,237,2320,212,1795,192
86000US33051,"33051",320,70,227,64,93,52
86000US33054,"33054",9569,537,4255,368,5314,566
86000US33055,"33055",11129,303,8395,436,2734,369
86000US33056,"33056",9791,363,6152,391,3639,324
86000US33060,"33060",13295,434,5921,371,7374,390
86000US33062,"33062",12158,461,8806,429,3352,334
86000US33063,"33063",22907,764,15508,774,7399,695
86000US33064,"33064",20761,529,12795,594,7966,516
86000US33065,"33065",17857,448,9053,512,8804,482
86000US33066,"33066",8319,387,6751,405,1568,321
86000US33067,"33067",8753,320,6095,316,2658,316
86000US33068,"33068",16841,661,9794,572,7047,562
86000US33069,"33069",10494,442,5263,336,5231,366
86000US33070,"33070",2070,231,1407,167,663,159
86000US33071,"33071",12851,350,8366,340,4485,327
86000US33073,"33073",11552,386,6701,443,4851,396
86000US33076,"33076",12006,414,9811,490,2195,334
86000US33101,"33101",0,14,0,14,0,14
86000US33109,"33109",210,88,185,84,25,29
86000US33122,"33122",94,34,0,14,94,34
86000US33125,"33125",21349,462,5453,422,15896,520
86000US33126,"33126",18242,410,6045,473,12197,513
86000US33127,"33127",10207,508,2889,268,7318,500
86000US33128,"33128",3213,252,185,119,3028,276
86000US33129,"33129",6545,622,3013,429,3532,548
86000US33130,"33130",14007,749,1863,348,12144,727
86000US33131,"33131",10349,579,3413,465,6936,644
86000US33132,"33132",6936,450,1968,256,4968,472
86000US33133,"33133",13913,547,6865,451,7048,559
86000US33134,"33134",16167,541,8373,542,7794,525
86000US33135,"33135",14623,504,2867,339,11756,535
86000US33136,"33136",6268,332,788,157,5480,324
86000US33137,"33137",10134,382,2695,290,7439,373
86000US33138,"33138",12587,463,5730,466,6857,471
86000US33139,"33139",20840,639,7041,448,13799,604
86000US33140,"33140",8674,461,5028,341,3646,427
86000US33141,"33141",17569,691,5181,382,12388,670
86000US33142,"33142",19715,454,5341,386,14374,542
86000US33143,"33143",12414,414,6408,395,6006,469
86000US33144,"33144",9262,412,5368,438,3894,433
86000US33145,"33145",11640,516,5644,431,5996,507
86000US33146,"33146",4332,265,3169,223,1163,201
86000US33147,"33147",14311,448,6720,373,7591,420
86000US33149,"33149",4428,169,3081,210,1347,204
86000US33150,"33150",9779,390,3046,305,6733,361
86000US33154,"33154",6185,301,3546,360,2639,343
86000US33155,"33155",14471,375,10137,452,4334,418
86000US33156,"33156",11107,382,7850,394,3257,292
86000US33157,"33157",19697,453,13042,526,6655,412
86000US33158,"33158",1997,140,1892,146,105,60
86000US33160,"33160",19164,613,10242,540,8922,524
86000US33161,"33161",16634,582,6373,442,10261,522
86000US33162,"33162",13093,459,7316,439,5777,397
86000US33165,"33165",16288,298,11129,463,5159,467
86000US33166,"33166",7923,427,3733,289,4190,391
86000US33167,"33167",5786,386,2976,319,2810,412
86000US33168,"33168",6737,354,4829,337,1908,311
86000US33169,"33169",12163,366,6488,327,5675,403
86000US33170,"33170",3893,350,2418,308,1475,278
86000US33172,"33172",14017,341,6356,426,7661,457
86000US33173,"33173",10987,341,7309,398,3678,382
86000US33174,"33174",9965,403,5615,334,4350,424
86000US33175,"33175",15643,369,11668,477,3975,402
86000US33176,"33176",17228,497,11559,497,5669,427
86000US33177,"33177",14827,265,10520,409,4307,345
86000US33178,"33178",15272,493,7631,477,7641,515
86000US33179,"33179",16181,455,9495,547,6686,610
86000US33180,"33180",14485,548,9457,543,5028,463
86000US33181,"33181",7627,399,2991,306,4636,440
86000US33182,"33182",3771,107,3258,176,513,151
86000US33183,"33183",11794,253,7415,440,4379,358
86000US33184,"33184",6065,320,4609,341,1456,272
86000US33185,"33185",8187,255,6943,314,1244,268
86000US33186,"33186",21439,504,14235,537,7204,510
86000US33187,"33187",5323,259,4612,332,711,231
86000US33189,"33189",7897,404,4801,382,3096,325
86000US33190,"33190",4675,244,2043,257,2632,237
86000US33193,"33193",14427,251,8920,439,5507,430
86000US33194,"33194",1428,197,1157,226,271,141
86000US33196,"33196",14504,298,9647,426,4857,428
86000US33301,"33301",7768,472,3547,309,4221,468
86000US33304,"33304",9549,429,3396,347,6153,413
86000US33305,"33305",6313,361,4052,324,2261,289
86000US33306,"33306",1708,190,1041,134,667,152
86000US33308,"33308",15194,532,10352,510,4842,416
86000US33309,"33309",13402,502,8071,536,5331,408
86000US33311,"33311",23494,673,9716,488,13778,615
86000US33312,"33312",17943,550,10258,690,7685,597
86000US33313,"33313",19959,622,8514,495,11445,721
86000US33314,"33314",9244,329,3814,268,5430,353
86000US33315,"33315",6068,364,3376,331,2692,381
86000US33316,"33316",5061,396,3120,312,1941,237
86000US33317,"33317",12668,435,9514,500,3154,406
86000US33319,"33319",18315,579,11797,632,6518,555
86000US33321,"33321",19526,636,14337,735,5189,542
86000US33322,"33322",16678,520,13709,546,2969,340
86000US33323,"33323",7338,305,5205,244,2133,291
86000US33324,"33324",19037,551,10614,574,8423,536
86000US33325,"33325",9137,328,7126,313,2011,246
86000US33326,"33326",10794,414,7473,357,3321,348
86000US33327,"33327",6501,310,4880,407,1621,371
86000US33328,"33328",10151,441,7817,419,2334,295
86000US33330,"33330",4615,240,4236,279,379,145
86000US33331,"33331",7417,324,6446,349,971,175
86000US33332,"33332",3173,266,2875,262,298,133
86000US33334,"33334",12169,526,6541,467,5628,409
86000US33351,"33351",11948,309,6410,386,5538,393
86000US33401,"33401",11406,468,4419,316,6987,419
86000US33403,"33403",4208,269,2042,263,2166,248
86000US33404,"33404",9981,420,5289,357,4692,328
86000US33405,"33405",6992,344,4222,286,2770,326
86000US33406,"33406",8776,314,5774,329,3002,307
86000US33407,"33407",10733,335,4422,283,6311,359
86000US33408,"33408",9118,279,7134,291,1984,266
86000US33409,"33409",10947,354,4856,304,6091,338
86000US33410,"33410",14383,436,9863,418,4520,400
86000US33411,"33411",24555,543,18042,656,6513,489
86000US33412,"33412",5390,184,4776,230,614,172
86000US33413,"33413",5038,268,3313,315,1725,269
86000US33414,"33414",19749,564,14348,576,5401,482
86000US33415,"33415",16586,381,9131,433,7455,448
86000US33417,"33417",14347,479,7886,465,6461,459
86000US33418,"33418",16963,495,13538,459,3425,308
86000US33426,"33426",9967,422,5906,380,4061,365
86000US33428,"33428",13836,319,9756,357,4080,336
86000US33430,"33430",7498,502,2259,280,5239,377
86000US33431,"33431",7974,384,5423,344,2551,346
86000US33432,"33432",10547,470,6636,390,3911,351
86000US33433,"33433",18298,611,12978,515,5320,520
86000US33434,"33434",9849,343,8114,350,1735,227
86000US33435,"33435",13696,505,8032,447,5664,363
86000US33436,"33436",17333,514,12548,455,4785,376
86000US33437,"33437",18312,507,15962,487,2350,330
86000US33438,"33438",105,52,96,50,9,14
86000US33440,"33440",6496,378,4221,448,2275,385
86000US33441,"33441",11104,427,5630,345,5474,387
86000US33442,"33442",13802,497,9247,497,4555,397
86000US33444,"33444",8705,346,4528,347,4177,317
86000US33445,"33445",14077,491,9257,477,4820,380
86000US33446,"33446",13456,481,11406,454,2050,318
86000US33449,"33449",3970,237,3628,260,342,153
86000US33455,"33455",9613,407,7895,402,1718,308
86000US33458,"33458",21646,563,15513,655,6133,516
